#
# ASTM E-490 Reference Spectra Derived from SMARTS v. 2.9.2 (AM1.5)
# Wavelength (nm),
# Irradiance W*m-2*nm-1
#
Wavelength,Irradiance
1168,5.312E-01
1170,5.276E-01
1172,5.315E-01
1174,5.273E-01
1176,5.184E-01
1178,5.190E-01
1180,5.239E-01
1182,5.159E-01
1184,5.103E-01
1186,5.187E-01
1188,5.075E-01
1190,5.085E-01
1192,5.161E-01
1194,5.145E-01
1196,5.084E-01
1198,4.943E-01
1200,5.003E-01
1202,5.068E-01
1204,4.948E-01
1206,5.039E-01
1208,4.890E-01
1210,4.882E-01
1212,4.933E-01
1214,4.942E-01
1216,4.930E-01
1218,4.897E-01
1220,4.875E-01
1222,4.854E-01
1224,4.846E-01
1226,4.817E-01
1228,4.771E-01
1230,4.792E-01
1232,4.750E-01
1234,4.729E-01
1236,4.719E-01
1238,4.703E-01
1240,4.653E-01
1242,4.642E-01
1244,4.619E-01
1246,4.635E-01
1248,4.633E-01
1250,4.624E-01
1252,4.571E-01
1254,4.574E-01
1256,4.551E-01
1258,4.533E-01
1260,4.530E-01
1262,4.497E-01
1264,4.478E-01
1266,4.467E-01
1268,4.417E-01
1270,4.453E-01
1272,4.452E-01
1274,4.431E-01
1276,4.451E-01
1278,4.440E-01
1280,4.356E-01
1282,4.014E-01
1284,4.259E-01
1286,4.328E-01
1288,4.314E-01
1290,4.255E-01
1292,4.254E-01
1294,4.223E-01
1296,4.224E-01
1298,4.184E-01
1300,4.186E-01
1302,4.139E-01
1304,4.111E-01
1306,4.136E-01
1308,4.123E-01
1310,4.106E-01
1312,4.033E-01
1314,4.022E-01
1316,3.979E-01
1318,4.017E-01
1320,4.016E-01
1322,3.986E-01
1324,3.981E-01
1326,3.949E-01
1328,3.908E-01
1330,3.878E-01
1332,3.863E-01
1334,3.892E-01
1336,3.866E-01
1338,3.832E-01
1340,3.790E-01
1342,3.805E-01
1344,3.798E-01
1346,3.772E-01
1348,3.766E-01
1350,3.724E-01
1352,3.742E-01
1354,3.722E-01
1356,3.675E-01
1358,3.688E-01
1360,3.673E-01
1362,3.677E-01
1364,3.657E-01
1366,3.657E-01
1368,3.628E-01
1370,3.599E-01
1372,3.621E-01
1374,3.611E-01
1376,3.561E-01
